action,timestamp,notes
new variant review,7/8/2024 11:45:35,
click-out from seqr,7/8/2024 11:45:37,
click-back into seqr,7/8/2024 11:45:51,
note-taking,7/8/2024 11:45:53,VN0000080_acceptor_gain_004_1
publication search,7/8/2024 11:46:19,
publication search,7/8/2024 11:46:25,
click-out from seqr,7/8/2024 11:46:39,
click-back into seqr,7/8/2024 11:47:01,
note-taking,7/8/2024 11:47:03,VN0000081_male_chimeras_hemizy
move on from variant,7/8/2024 11:47:13,
review saved variant,7/8/2024 11:49:39,
click-out from seqr,7/8/2024 11:49:43,
click-back into seqr,7/8/2024 11:49:47,
move on from variant,7/8/2024 11:49:51,
start case,7/8/2024 11:50:17,
custom search,7/8/2024 11:50:41,VS0000111_
new variant review,7/8/2024 11:51:05,
click-out from seqr,7/8/2024 11:51:23,
click-back into seqr,7/8/2024 11:51:35,
move on from variant,7/8/2024 11:51:51,
standard search,7/8/2024 11:52:21,
new variant review,7/8/2024 11:52:27,
move on from variant,7/8/2024 11:52:33,
new variant review,7/8/2024 11:52:45,
click-out from seqr,7/8/2024 11:52:45,
click-back into seqr,7/8/2024 11:52:49,
move on from variant,7/8/2024 11:52:49,
new variant review,7/8/2024 11:52:57,
click-out from seqr,7/8/2024 11:52:59,
click-back into seqr,7/8/2024 11:53:15,
note-taking,7/8/2024 11:53:25,VN0000082_overlap_with_psychom
publication search,7/8/2024 11:53:55,
publication search,7/8/2024 11:54:15,
publication search,7/8/2024 11:54:27,
publication search,7/8/2024 11:54:31,
click-out from seqr,7/8/2024 11:54:51,
publication reading,7/8/2024 11:55:05,PMID:31091003
publication reading,7/8/2024 11:55:27,PMID:36338154
click-back into seqr,7/8/2024 11:55:53,
note-taking,7/8/2024 11:55:57,VN0000083_doi_101016jymgmr
move on from variant,7/8/2024 11:56:15,
new variant review,7/8/2024 11:56:27,
note-taking,7/8/2024 11:56:29,VN0000084_8_hemis_in_gnomadv2
move on from variant,7/8/2024 11:56:45,
new variant review,7/8/2024 11:57:05,
click-out from seqr,7/8/2024 11:57:11,
click-back into seqr,7/8/2024 11:57:19,
move on from variant,7/8/2024 11:57:25,
review saved variant,7/8/2024 11:57:57,
click-out from seqr,7/8/2024 11:57:59,
click-back into seqr,7/8/2024 11:58:19,
note-taking,7/8/2024 11:59:05,VN0000085_c43232ct_in_mane
note-taking,7/8/2024 11:59:15,VN0000086_pasp99asn_in_mane
click-out from seqr,7/8/2024 11:59:27,
click-back into seqr,7/8/2024 11:59:47,
note-taking,7/8/2024 11:59:49,VN0000087_not_a_known_protein
click-out from seqr,7/8/2024 12:00:07,
click-back into seqr,7/8/2024 12:00:11,
note-taking,7/8/2024 12:00:13,VN0000088_no_clinvar_variants
click-out from seqr,7/8/2024 12:00:21,
click-back into seqr,7/8/2024 12:00:45,
move on from variant,7/8/2024 12:00:49,
review saved variant,7/8/2024 12:00:53,
publication reading,7/8/2024 12:00:59,PMID:36338154
note-taking,7/8/2024 12:01:35,VN0000083_doi_101016jymgmr
publication reading,7/8/2024 12:02:23,PMID:36338154
note-taking,7/8/2024 12:02:55,VN0000083_doi_101016jymgmr
publication reading,7/8/2024 12:03:19,PMID:36338154
note-taking,7/8/2024 12:03:47,VN0000083_doi_101016jymgmr
move on from variant,7/8/2024 12:04:01,
start case,7/8/2024 12:04:33,
standard search,7/8/2024 12:04:59,
new variant review,7/8/2024 12:05:51,
click-out from seqr,7/8/2024 12:05:59,
click-back into seqr,7/8/2024 12:06:13,
note-taking,7/8/2024 12:06:15,VN0000089_high_expression_in_b
click-out from seqr,7/8/2024 12:06:23,
click-back into seqr,7/8/2024 12:06:39,
note-taking,7/8/2024 12:06:41,VN0000090_variant_mostly_conse
click-out from seqr,7/8/2024 12:06:51,
click-back into seqr,7/8/2024 12:06:55,
note-taking,7/8/2024 12:06:57,VN0000091_acceptor_gain_018
move on from variant,7/8/2024 12:07:13,
new variant review,7/8/2024 12:07:19,
note-taking,7/8/2024 12:07:21,VN0000092_secondary_finding
move on from variant,7/8/2024 12:07:23,
new variant review,7/8/2024 12:07:37,
click-out from seqr,7/8/2024 12:07:37,
click-back into seqr,7/8/2024 12:08:05,
note-taking,7/8/2024 12:08:07,VN0000093_skin_changes_have
note-taking,7/8/2024 12:08:17,VN0000094_not_curated_by_cling
publication search,7/8/2024 12:08:35,
publication reading,7/8/2024 12:08:43,PMID:27382493
note-taking,7/8/2024 12:09:31,VN0000094_not_curated_by_cling
move on from variant,7/8/2024 12:09:33,
new variant review,7/8/2024 12:09:49,
note-taking,7/8/2024 12:09:51,VN0000095_clingen_2021
click-out from seqr,7/8/2024 12:09:57,
click-back into seqr,7/8/2024 12:10:43,
note-taking,7/8/2024 12:10:47,VN0000095_clingen_2021
click-out from seqr,7/8/2024 12:11:09,
click-back into seqr,7/8/2024 12:11:25,
click-out from seqr,7/8/2024 12:11:27,
click-back into seqr,7/8/2024 12:11:49,
note-taking,7/8/2024 12:11:51,VN0000096_4_alleles_with_a_aa
move on from variant,7/8/2024 12:12:13,
new variant review,7/8/2024 12:12:17,
move on from variant,7/8/2024 12:12:19,
new variant review,7/8/2024 12:12:51,
note-taking,7/8/2024 12:12:53,VN0000097_deletion_in_trans_o
move on from variant,7/8/2024 12:13:01,
review saved variant,7/8/2024 12:13:37,
publication search,7/8/2024 12:13:39,
publication reading,7/8/2024 12:13:57,PMID:24566669
publication search,7/8/2024 12:14:17,
publication reading,7/8/2024 12:14:25,PMID:24566669
publication search,7/8/2024 12:14:45,
publication reading,7/8/2024 12:14:51,PMID:28676968
publication search,7/8/2024 12:15:17,
publication reading,7/8/2024 12:15:27,PMID:35705240
click-out from seqr,7/8/2024 12:15:49,
click-back into seqr,7/8/2024 12:16:03,
click-out from seqr,7/8/2024 12:16:07,
click-back into seqr,7/8/2024 12:16:25,
note-taking,7/8/2024 12:16:49,VN0000098_lof_variants_are_pat
click-out from seqr,7/8/2024 12:17:03,
click-back into seqr,7/8/2024 12:17:05,VN0000098_lof_variants_are_pat
note-taking,7/8/2024 12:17:07,
click-out from seqr,7/8/2024 12:17:17,
click-back into seqr,7/8/2024 12:17:55,
note-taking,7/8/2024 12:17:57,VN0000099_secondary_finding_n
click-out from seqr,7/8/2024 12:18:05,
click-back into seqr,7/8/2024 12:18:23,
note-taking,7/8/2024 12:18:25,VN0000099_secondary_finding_n
click-out from seqr,7/8/2024 12:18:55,
