action,timestamp,notes
publication search,7/10/2024 11:57:57,
move on from variant,7/10/2024 11:58:12,
new variant review,7/10/2024 11:58:15,
note-taking,7/10/2024 11:58:30,VN0000167_gene_may_modulate_th
click-out from seqr,7/10/2024 11:58:40,
click-back into seqr,7/10/2024 11:58:50,
click-out from seqr,7/10/2024 11:58:54,
click-back into seqr,7/10/2024 11:59:14,
note-taking,7/10/2024 11:59:16,VN0000168_not_in_a_described_p
move on from variant,7/10/2024 11:59:32,
new variant review,7/10/2024 11:59:38,
note-taking,7/10/2024 11:59:42,VN0000169_no_lof_constrained
click-out from seqr,7/10/2024 11:59:46,
click-back into seqr,7/10/2024 12:00:04,
note-taking,7/10/2024 12:00:08,VN0000170_linked_to_gdd_only
table interaction,7/10/2024 12:00:18,
publication reading,7/10/2024 12:00:24,PMID:28600779
note-taking,7/10/2024 12:00:30,VN0000170_linked_to_gdd_only
move on from variant,7/10/2024 12:01:06,
new variant review,7/10/2024 12:01:16,
click-out from seqr,7/10/2024 12:01:18,
click-back into seqr,7/10/2024 12:01:34,
note-taking,7/10/2024 12:01:36,VN0000171_large_gene_with_seve
move on from variant,7/10/2024 12:02:14,
custom search,7/10/2024 12:02:18,
new variant review,7/10/2024 12:02:34,
table interaction,7/10/2024 12:02:34,
note-taking,7/10/2024 12:02:44,VN0000172_second_allele_has_se
move on from variant,7/10/2024 12:02:52,
new variant review,7/10/2024 12:03:08,
note-taking,7/10/2024 12:03:10,VN0000173_high_splice_ai_score
click-out from seqr,7/10/2024 12:03:24,
click-back into seqr,7/10/2024 12:04:06,
note-taking,7/10/2024 12:04:08,VN0000174_two_pala284thr_hemi
click-out from seqr,7/10/2024 12:04:25,
click-back into seqr,7/10/2024 12:04:37,
note-taking,7/10/2024 12:04:40,VN0000175_strong_donor_gain_at
click-out from seqr,7/10/2024 12:05:10,
click-back into seqr,7/10/2024 12:05:20,
click-out from seqr,7/10/2024 12:05:22,
click-back into seqr,7/10/2024 12:05:50,
note-taking,7/10/2024 12:05:54,VN0000175_strong_donor_gain_at
publication search,7/10/2024 12:06:36,
publication search,7/10/2024 12:06:56,
publication search,7/10/2024 12:07:04,
publication reading,7/10/2024 12:07:18,PMID:35122698
note-taking,7/10/2024 12:08:21,VN0000176_doi_101002mgg318
publication search,7/10/2024 12:09:05,
click-out from seqr,7/10/2024 12:09:10,
click-back into seqr,7/10/2024 12:09:50,
move on from variant,7/10/2024 12:09:56,
new variant review,7/10/2024 12:10:08,
table interaction,7/10/2024 12:10:08,
publication search,7/10/2024 12:10:36,
publication reading,7/10/2024 12:10:54,PMID:25885783
publication reading,7/10/2024 12:11:52,PMID:25885783
note-taking,7/10/2024 12:15:08,PN0000009_ensg00000165591only_
note-taking,7/10/2024 12:15:36,PN0000010_ensg00000165591only_
table interaction,7/10/2024 12:15:50,
move on from variant,7/10/2024 12:16:04,
