gene	pmid	cluster
MLH3	18551179	2
MLH3	19156873	2
MLH3	24549055	2
MLH3	25142776	2
MLH3	26149658	2
MLH3	26296701	2
MLH3	26542077	2
MLH3	27401157	2
MLH3	30573798	2
MLH3	30614234	2
MLH3	31043711	2
MLH3	31297992	2
MLH3	31686011	2
MLH3	32469048	2
MLH3	33117677	2
MLH3	33517345	2
MLH3	34008015	2
MLH3	34897210	2
MLH3	35475445	2
MLH3	37656691	2
MLH3	38201513	2
MLH3	28195393	2
MLH3	29212164	2
COG4	34298581	2
JPH2	25500949	2
JPH2	30235249	2
JPH2	31227780	2
JPH2	32879264	2
JPH2	34526680	2
JPH2	34861382	2
JPH2	36357925	2
JPH2	29165669	2
LRRC10	28032242	2
TOPBP1	34199176	2
FBN2	15742475	3
FBN2	18838118	3
FBN2	24130178	3
FBN2	25195018	3
FBN2	28383543	3
FBN2	30675029	3
FBN2	31426022	3
FBN2	32900841	3
FBN2	34356068	3
FBN2	36800380	3
FBN2	36849876	3
FBN2	37399314	3
FBN2	37875969	3
FBN2	38114583	3
FBN2	38215673	3
EXOC2	32639540	3
RHOH	22850876	3
RNASEH1	30340744	3
RNASEH1	28508084	3
RNASEH1	31258551	3
RNASEH1	26094573	3
DNAJC7	36993367	3
ZNF423	22863007	3
OTUD7A	33381903	3
OTUD7A	31997314	3
ADCY1	24482543	3
IGKC	32278584	3
IGKC	26853951	3
IGKC	4132042	3
SARS1	35790048	3
SARS1	36041817	3
SARS1	34570399	3
BAZ2B	31999386	3
BAZ2B	25363768	3
BAZ2B	28135719	3
BAZ2B	28554332	3
BAZ2B	28867142	3
BAZ2B	31398340	3
BAZ2B	31981491	3
BAZ2B	33057194	3
BAZ2B	37872713	3
TAPBP	12149238	3
B4GAT1	34587870	3
B4GAT1	34602496	3
B4GAT1	25279699	3
B4GAT1	23877401	3
TOP2B	31198993	3
TOP2B	31409799	3
TOP2B	31953910	3
TOP2B	33459963	3
TOP2B	35063500	3
TOP2B	36450898	3
TOP2B	32128574	3
SLFN14	30431218	3
SLFN14	31378119	3
SLFN14	36790527	3
SLFN14	26280575	3
SLFN14	33496736	3
SLFN14	29678925	3
SLFN14	37041648	3
SLFN14	36237120	3
SLFN14	26769223	3
SLFN14	30536060	3
HYAL1	10339581	3
HYAL1	21559944	3
HYAL1	26322170	3
RGS9	17826834	3
RGS9	14702087	3
RGS9	29107794	3
RGS9	19818506	3
MLH3	33453991	3
MLH3	36041235	3
COG4	19494034	3
COG4	19651599	3
COG4	21185756	3
COG4	25312861	3
COG4	30287385	3
COG4	30290151	3
COG4	31949312	3
COG4	32652690	3
COG4	33340551	3
COG4	33629572	3
COG4	33688625	3
COG4	34022244	3
COG4	34595172	3
COG4	34603392	3
COG4	36393834	3
JPH2	17476457	3
JPH2	17509612	3
JPH2	20694023	3
JPH2	22515980	3
JPH2	23715556	3
JPH2	23973696	3
JPH2	24636942	3
JPH2	24935431	3
JPH2	26869393	3
JPH2	27471098	3
JPH2	30167555	3
JPH2	28393127	3
JPH2	30384889	3
JPH2	31478477	3
JPH2	32777767	3
JPH2	35001666	3
JPH2	35238659	3
JPH2	37371654	3
GRXCR2	24619944	3
GRXCR2	28383030	3
GRXCR2	32048449	3
GRXCR2	30157177	3
GRXCR2	33528103	3
GRXCR2	35454363	3
EMC1	36799557	3
EMC1	35234901	3
EMC1	37187958	3
EMC1	26942288	3
EMC1	32092440	3
EMC1	29271071	3
EMC1	38161285	3
EMC1	37554197	3
KMO	23459468	3
CPT1B	18023382	3
LRRC10	26017719	3
LRRC10	29431102	3
LRRC10	27536250	3
LRRC10	29431105	3
LRRC10	31270560	3
