uuid,gene_curie,gene_symbol,disease_curie,disease_title,disease_original_curie,disease_original_title,classification_curie,classification_title,moi_curie,moi_title,submitter_curie,submitter_title,submitted_as_hgnc_id,submitted_as_hgnc_symbol,submitted_as_disease_id,submitted_as_disease_name,submitted_as_moi_id,submitted_as_moi_name,submitted_as_submitter_id,submitted_as_submitter_name,submitted_as_classification_id,submitted_as_classification_name,submitted_as_date,submitted_as_public_report_url,submitted_as_notes,submitted_as_pmids,submitted_as_assertion_criteria_url,submitted_as_submission_id,submitted_run_date,pub_year
GENCC_000104-HGNC_1541-OMIM_613563-HP_0000006-GENCC_100002,HGNC:1541,CBL,MONDO:0013308,CBL-related disorder,OMIM:613563,Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1541,CBL,OMIM:613563,Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia 613563,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,20543203,,000104.pa48.v1.73.hgnc1541.m1.p1,2020-10-08,2011.0
GENCC_000104-HGNC_1541-OMIM_613563-HP_0000006-GENCC_100002,HGNC:1541,CBL,MONDO:0013308,CBL-related disorder,OMIM:613563,Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:1541,CBL,OMIM:613563,Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia 613563,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,19571318,,000104.pa48.v1.73.hgnc1541.m1.p1,2020-10-08,2009.0
GENCC_000104-HGNC_5173-OMIM_218040-HP_0000006-GENCC_100002,HGNC:5173,HRAS,MONDO:0009026,Costello syndrome,OMIM:218040,Costello syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:5173,HRAS,OMIM:218040,Costello syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,16170316,,000104.pa48.v1.73.hgnc5173.m1.p1,2020-10-08,2005.0
GENCC_000104-HGNC_5173-OMIM_218040-HP_0000006-GENCC_100002,HGNC:5173,HRAS,MONDO:0009026,Costello syndrome,OMIM:218040,Costello syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:5173,HRAS,OMIM:218040,Costello syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,16969868,,000104.pa48.v1.73.hgnc5173.m1.p1,2020-10-08,2006.0
GENCC_000104-HGNC_5173-OMIM_218040-HP_0000006-GENCC_100002,HGNC:5173,HRAS,MONDO:0009026,Costello syndrome,OMIM:218040,Costello syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:5173,HRAS,OMIM:218040,Costello syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,16443854,,000104.pa48.v1.73.hgnc5173.m1.p1,2020-10-08,2006.0
GENCC_000104-HGNC_5173-OMIM_218040-HP_0000006-GENCC_100002,HGNC:5173,HRAS,MONDO:0009026,Costello syndrome,OMIM:218040,Costello syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:5173,HRAS,OMIM:218040,Costello syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc5173.m1.p1,2020-10-08,2011.0
GENCC_000104-HGNC_6407-OMIM_609942-HP_0000006-GENCC_100002,HGNC:6407,KRAS,MONDO:0012371,Noonan syndrome 3,OMIM:609942,Noonan syndrome 3,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6407,KRAS,OMIM:609942,Noonan syndrome 3 609942,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:14,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc6407.m1.p1,2020-10-08,2011.0
GENCC_000104-HGNC_6407-OMIM_615278-HP_0000006-GENCC_100002,HGNC:6407,KRAS,MONDO:0014112,cardiofaciocutaneous syndrome 2,OMIM:615278,Cardiofaciocutaneous syndrome 2,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6407,KRAS,OMIM:615278,Cardiofaciocutaneous syndrome 2 615278,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc6407.m1.p2,2020-10-08,2011.0
GENCC_000104-HGNC_6742-OMIM_616564-HP_0000006-GENCC_100002,HGNC:6742,LZTR1,MONDO:0014693,Noonan syndrome 10,OMIM:616564,Noonan syndrome 10,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6742,LZTR1,OMIM:616564,Noonan syndrome 10 616564,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,25795793,,000104.pa48.v1.73.hgnc6742.m1.p1,2020-10-08,2016.0
GENCC_000104-HGNC_6742-OMIM_616564-HP_0000006-GENCC_100002,HGNC:6742,LZTR1,MONDO:0014693,Noonan syndrome 10,OMIM:616564,Noonan syndrome 10,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6742,LZTR1,OMIM:616564,Noonan syndrome 10 616564,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,29469822,,000104.pa48.v1.73.hgnc6742.m1.p1,2020-10-08,2018.0
GENCC_000104-HGNC_6742-OMIM_615670-HP_0000006-GENCC_100002,HGNC:6742,LZTR1,MONDO:0014299,schwannomatosis 2,OMIM:615670,"{Schwannomatosis-2, susceptibility to}",GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6742,LZTR1,OMIM:615670,"Schwannomatosis-2, susceptibility to 615670",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,25795793,,000104.pa48.v1.73.hgnc6742.m1.p2,2020-10-08,2016.0
GENCC_000104-HGNC_6742-OMIM_615670-HP_0000006-GENCC_100002,HGNC:6742,LZTR1,MONDO:0014299,schwannomatosis 2,OMIM:615670,"{Schwannomatosis-2, susceptibility to}",GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6742,LZTR1,OMIM:615670,"Schwannomatosis-2, susceptibility to 615670",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,29469822,,000104.pa48.v1.73.hgnc6742.m1.p2,2020-10-08,2018.0
GENCC_000104-HGNC_6742-OMIM_605275-HP_0000007-GENCC_100002,HGNC:6742,LZTR1,MONDO:0011531,Noonan syndrome 2,OMIM:605275,Noonan syndrome 2,GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000104,Genomics England PanelApp,HGNC:6742,LZTR1,OMIM:605275,"Noonan syndrome 2, 605275",HP:0000007,Autosomal recessive inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,25795793,,000104.pa48.v1.73.hgnc6742.m2.p3,2020-10-08,2016.0
GENCC_000104-HGNC_6742-OMIM_605275-HP_0000007-GENCC_100002,HGNC:6742,LZTR1,MONDO:0011531,Noonan syndrome 2,OMIM:605275,Noonan syndrome 2,GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000104,Genomics England PanelApp,HGNC:6742,LZTR1,OMIM:605275,"Noonan syndrome 2, 605275",HP:0000007,Autosomal recessive inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,29469822,,000104.pa48.v1.73.hgnc6742.m2.p3,2020-10-08,2018.0
GENCC_000104-HGNC_6840-OMIM_615279-HP_0000006-GENCC_100002,HGNC:6840,MAP2K1,MONDO:0014113,cardiofaciocutaneous syndrome 3,OMIM:615279,Cardiofaciocutaneous syndrome 3,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6840,MAP2K1,OMIM:615279,Cardiofaciocutaneous syndrome 3,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc6840.m1.p1,2020-10-08,2011.0
GENCC_000104-HGNC_6840-OMIM_615279-HP_0000006-GENCC_100002,HGNC:6840,MAP2K1,MONDO:0014113,cardiofaciocutaneous syndrome 3,OMIM:615279,Cardiofaciocutaneous syndrome 3,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6840,MAP2K1,OMIM:615279,Cardiofaciocutaneous syndrome 3,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,23321623,,000104.pa48.v1.73.hgnc6840.m1.p1,2020-10-08,2014.0
GENCC_000104-HGNC_6840-MONDO_0007893-HP_0000006-GENCC_100002,HGNC:6840,MAP2K1,MONDO:0007893,Noonan syndrome with multiple lentigines,MONDO:0007893,Noonan syndrome with multiple lentigines,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6840,MAP2K1,MONDO:0007893,Noonan syndrome with multiple lentigines,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc6840.m1.p2,2020-10-08,2011.0
GENCC_000104-HGNC_6840-MONDO_0007893-HP_0000006-GENCC_100002,HGNC:6840,MAP2K1,MONDO:0007893,Noonan syndrome with multiple lentigines,MONDO:0007893,Noonan syndrome with multiple lentigines,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6840,MAP2K1,MONDO:0007893,Noonan syndrome with multiple lentigines,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,23321623,,000104.pa48.v1.73.hgnc6840.m1.p2,2020-10-08,2014.0
GENCC_000104-HGNC_6842-OMIM_615280-HP_0000006-GENCC_100002,HGNC:6842,MAP2K2,MONDO:0014114,cardiofaciocutaneous syndrome 4,OMIM:615280,Cardiofaciocutaneous syndrome 4,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6842,MAP2K2,OMIM:615280,Cardiofaciocutaneous syndrome 4 615280,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,21396583,,000104.pa48.v1.73.hgnc6842.m1.p1,2020-10-08,2011.0
GENCC_000104-HGNC_6842-OMIM_615280-HP_0000006-GENCC_100002,HGNC:6842,MAP2K2,MONDO:0014114,cardiofaciocutaneous syndrome 4,OMIM:615280,Cardiofaciocutaneous syndrome 4,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:6842,MAP2K2,OMIM:615280,Cardiofaciocutaneous syndrome 4 615280,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,23379592,,000104.pa48.v1.73.hgnc6842.m1.p1,2020-10-08,2015.0
GENCC_000104-HGNC_7227-OMIM_618499-HP_0000006-GENCC_100002,HGNC:7227,MRAS,MONDO:0032786,Noonan syndrome 11,OMIM:618499,Noonan syndrome 11,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7227,MRAS,OMIM:618499,"Noonan syndrome 11, 618499",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,28289718,,000104.pa48.v1.73.hgnc7227.m1.p1,2020-10-08,2019.0
GENCC_000104-HGNC_7227-OMIM_618499-HP_0000006-GENCC_100002,HGNC:7227,MRAS,MONDO:0032786,Noonan syndrome 11,OMIM:618499,Noonan syndrome 11,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7227,MRAS,OMIM:618499,"Noonan syndrome 11, 618499",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,31173466,,000104.pa48.v1.73.hgnc7227.m1.p1,2020-10-08,2019.0
GENCC_000104-HGNC_7227-OMIM_618499-HP_0000006-GENCC_100002,HGNC:7227,MRAS,MONDO:0032786,Noonan syndrome 11,OMIM:618499,Noonan syndrome 11,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7227,MRAS,OMIM:618499,"Noonan syndrome 11, 618499",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,31108500,,000104.pa48.v1.73.hgnc7227.m1.p1,2020-10-08,2019.0
GENCC_000104-HGNC_7765-OMIM_601321-HP_0000006-GENCC_100002,HGNC:7765,NF1,MONDO:0011035,neurofibromatosis-Noonan syndrome,OMIM:601321,Neurofibromatosis-Noonan syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7765,NF1,OMIM:601321,Neurofibromatosis-Noonan syndrome 601321,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,16380919,,000104.pa48.v1.73.hgnc7765.m1.p1,2020-10-08,2005.0
GENCC_000104-HGNC_7765-OMIM_601321-HP_0000006-GENCC_100002,HGNC:7765,NF1,MONDO:0011035,neurofibromatosis-Noonan syndrome,OMIM:601321,Neurofibromatosis-Noonan syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7765,NF1,OMIM:601321,Neurofibromatosis-Noonan syndrome 601321,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,19845691,,000104.pa48.v1.73.hgnc7765.m1.p1,2020-10-08,2010.0
GENCC_000104-HGNC_7765-OMIM_601321-HP_0000006-GENCC_100002,HGNC:7765,NF1,MONDO:0011035,neurofibromatosis-Noonan syndrome,OMIM:601321,Neurofibromatosis-Noonan syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7765,NF1,OMIM:601321,Neurofibromatosis-Noonan syndrome 601321,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,12707950,,000104.pa48.v1.73.hgnc7765.m1.p1,2020-10-08,2003.0
GENCC_000104-HGNC_7989-OMIM_613224-HP_0000006-GENCC_100002,HGNC:7989,NRAS,MONDO:0013186,Noonan syndrome 6,OMIM:613224,Noonan syndrome 6,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7989,NRAS,OMIM:613224,Noonan syndrome 6 613224,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,19966803,,000104.pa48.v1.73.hgnc7989.m1.p1,2020-10-08,2010.0
GENCC_000104-HGNC_7989-OMIM_613224-HP_0000006-GENCC_100002,HGNC:7989,NRAS,MONDO:0013186,Noonan syndrome 6,OMIM:613224,Noonan syndrome 6,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7989,NRAS,OMIM:613224,Noonan syndrome 6 613224,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,19775298,,000104.pa48.v1.73.hgnc7989.m1.p1,2020-10-08,2010.0
GENCC_000104-HGNC_7989-MONDO_0015280-HP_0000006-GENCC_100002,HGNC:7989,NRAS,MONDO:0015280,cardiofaciocutaneous syndrome,MONDO:0015280,cardiofaciocutaneous syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7989,NRAS,MONDO:0015280,Cardio-Facio-cutanenous syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,19966803,,000104.pa48.v1.73.hgnc7989.m1.p2,2020-10-08,2010.0
GENCC_000104-HGNC_7989-MONDO_0015280-HP_0000006-GENCC_100002,HGNC:7989,NRAS,MONDO:0015280,cardiofaciocutaneous syndrome,MONDO:0015280,cardiofaciocutaneous syndrome,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:7989,NRAS,MONDO:0015280,Cardio-Facio-cutanenous syndrome,HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,19775298,,000104.pa48.v1.73.hgnc7989.m1.p2,2020-10-08,2010.0
GENCC_000104-HGNC_9282-OMIM_617506-HP_0000006-GENCC_100002,HGNC:9282,PPP1CB,MONDO:0054588,Noonan syndrome-like disorder with loose anagen hair 2,OMIM:617506,Noonan syndrome-like disorder with loose anagen hair 2,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:9282,PPP1CB,OMIM:617506,"Noonan syndrome-like disorder with loose anagen hair 2, 617506",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,27264673,,000104.pa48.v1.73.hgnc9282.m1.p1,2020-10-08,2017.0
GENCC_000104-HGNC_9282-OMIM_617506-HP_0000006-GENCC_100002,HGNC:9282,PPP1CB,MONDO:0054588,Noonan syndrome-like disorder with loose anagen hair 2,OMIM:617506,Noonan syndrome-like disorder with loose anagen hair 2,GENCC:100002,Strong,HP:0000006,Autosomal dominant,GENCC:000104,Genomics England PanelApp,HGNC:9282,PPP1CB,OMIM:617506,"Noonan syndrome-like disorder with loose anagen hair 2, 617506",HP:0000006,Autosomal dominant inheritance,GENCC:000104,Genomics England PanelApp,GENCC:100002,Strong,2020-10-07 20:04:15,https://panelapp.genomicsengland.co.uk/panels/48/,,28211982,,000104.pa48.v1.73.hgnc9282.m1.p1,2020-10-08,2017.0
